title:not_thinking_counting, start timestamp:2020-01-08T16:43:22.166387-06:00, stop timestamp:2020-01-08T16:43:35.732961-06:00, headset type:EPOCFLEX, headset serial:F00000F7, headset firmware:f12, subject name:Kat, channels:74, sampling rate:128, samples:1749      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.TP10,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.TP9,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.TP10,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2
1578523402.166387,45.000000,0.000000,27.357763,-59.465683,-798.939514,-62.185810,33.931377,-28.514389,37.457066,34.046227,92.624908,-28.774740,73.070862,107.246445,86.179024,110.824257,168.201096,141.710846,84.087425,62.577236,208.803650,130.409409,52.174541,87.998558,38.355450,45.578312,-6.506833,70.128761,-129.135849,73.306267,-7.483247,-79.550056,29.944775,-568.520325,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.174036,46.000000,0.000000,27.330406,-59.406216,-799.679016,-62.123623,33.897446,-28.485874,31.265762,31.960899,92.532280,-28.233145,78.638817,107.652023,81.477455,110.200615,169.571350,138.492203,82.464874,63.540298,207.056396,123.099518,46.994164,87.910561,38.317093,49.122478,4.268905,70.058632,-131.570816,73.232964,-7.475764,-79.470505,28.889189,-572.054382,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.181785,47.000000,0.000000,27.303076,-59.346809,-800.930664,-59.497398,33.350727,-28.457388,28.157574,30.903297,93.465393,-29.743372,98.047356,99.852058,77.806236,107.013489,147.863312,142.969101,79.818306,61.425476,204.798050,121.437958,45.921528,87.822655,32.637753,16.765663,-28.043056,74.603958,-132.464890,70.082809,-7.468288,-79.391037,35.526966,-574.046448,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.189434,48.000000,0.000000,27.275772,-59.287464,-795.514343,-55.335335,33.317379,-28.428930,31.206339,32.410854,99.012955,-27.149527,108.718536,99.752205,79.779709,107.932114,132.330841,150.518433,81.789772,66.492256,212.798386,120.290878,48.439709,87.734825,34.656395,18.800179,-38.784245,83.247307,-133.358063,70.525543,-7.460820,-79.824463,39.594002,-570.395447,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.197283,49.000000,0.000000,27.248497,-59.228176,-791.129089,-54.767181,33.796883,-28.400503,38.354618,36.993828,106.093430,-17.378788,107.584183,118.626816,84.315315,125.260078,165.019012,172.419205,86.836189,79.246277,237.200974,121.709045,54.545116,87.647095,36.673019,51.601891,-5.924947,85.728157,-132.711884,77.121689,-7.453359,-79.231819,40.067230,-568.799438,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.205032,50.000000,0.000000,27.221249,-59.168945,-790.850769,-55.225235,33.250263,-28.372101,40.880367,39.520939,108.038612,-11.720384,105.425316,130.815887,85.769463,133.852768,197.674515,174.298065,88.287811,77.628571,246.194534,133.382217,58.593136,87.559448,36.123528,74.114395,19.722004,84.616791,-126.938148,80.634308,-7.445906,-79.665405,44.129726,-568.743408,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.212881,51.000000,0.000000,27.194027,-59.109779,-790.059937,-54.144367,33.729836,-28.343729,39.813847,38.968597,107.930580,-16.324047,110.448090,122.992760,84.658051,118.847122,175.938370,159.764801,87.173882,67.294533,233.127823,144.530884,58.021721,87.471886,43.779713,41.732586,-2.861821,85.044998,-121.170189,81.066498,-7.438460,-79.585739,47.675343,-567.661865,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.220630,52.000000,0.000000,27.166832,-59.563488,-789.269836,-54.603043,36.260208,-28.315386,40.286854,38.929626,107.822647,-20.923107,108.799187,117.741562,85.086212,111.548790,166.531662,170.374252,88.112350,69.278519,230.330597,144.386353,59.502159,87.384415,53.992340,27.331879,-14.653831,84.959953,-120.536194,83.036713,-7.431022,-77.454872,47.114845,-567.607056,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.228479,53.000000,0.000000,27.139666,-58.991104,-788.993408,-55.061260,37.249588,-28.287071,40.759388,37.352238,101.560974,-20.389364,97.408333,119.162277,85.513947,116.565445,195.083084,172.767990,85.972954,68.183594,231.125916,136.036835,62.006760,87.297028,52.912708,30.894291,-7.972510,83.336525,-120.928482,80.902390,-7.936411,-75.326134,46.042088,-565.500977,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.236229,54.000000,0.000000,27.112526,-58.419292,-787.178772,-54.493378,37.212337,-28.258783,40.205807,34.750782,98.382492,-24.471539,102.439133,111.350807,84.915619,112.346313,182.580307,146.441376,78.707497,56.320541,217.561447,125.644386,56.816547,87.209732,45.680309,26.248013,-9.502999,84.278831,-120.294731,75.693283,-7.415654,-75.250809,46.508869,-562.884155,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
1578523402.244077,55.000000,0.000000,26.572594,-60.924976,-789.468506,-57.515808,37.687946,-28.230524,40.165600,35.228851,100.848213,-31.113735,120.798225,102.008690,84.830704,108.131409,150.090042,143.730835,75.551865,56.264221,213.754150,121.416176,54.195629,87.122520,41.019245,38.016636,-13.083240,82.656090,-122.225716,75.617592,-7.408238,-75.688377,46.462360,-563.859741,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,4.000000,4.000000,4.000000
