title:odd_even_left_right, start timestamp:2020-01-08T16:19:06.311261-06:00, stop timestamp:2020-01-08T16:19:27.270261-06:00, headset type:EPOCFLEX, headset serial:F00000F7, headset firmware:f12, subject name:Kat, channels:74, sampling rate:128, samples:2702      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.TP10,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.TP9,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.TP10,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2
1578521946.311261,97.000000,0.000000,-70.230682,-6.456934,-255.359421,32.223396,-1.126560,-29.562510,-8.204580,-4.748882,12.943019,-62.001759,52.708881,-47.711868,12.166704,11.464580,24.208128,43.695877,20.218031,2.235691,55.986073,-18.672127,19.070267,15.915903,-6.371845,4.793802,10.577259,14.299945,3.430216,-0.763107,-9.793200,-37.085659,82.848198,-227.143356,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.319111,98.000000,0.000000,-70.673271,-6.450478,-251.001495,34.242455,-1.638254,-29.532946,-8.196375,-5.769774,19.083921,-59.375656,64.451042,-48.689796,12.154537,12.991577,19.055716,44.165001,20.710634,-6.484494,58.494190,1.859366,19.051195,16.412807,12.608886,8.378752,12.105144,14.798466,3.939606,2.827400,-9.783407,-37.048573,84.303810,-222.300827,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.326860,99.000000,0.000000,-70.602600,-6.956848,-249.724854,39.336418,-2.662257,-29.503414,-9.213820,-6.276824,22.654581,-54.700893,69.514801,-48.641106,11.629562,15.029867,20.062300,14.890068,17.100180,-22.888266,52.794670,-14.552750,16.468042,13.319471,16.186020,3.754988,11.067397,16.322128,2.910025,1.798932,-9.773623,-37.011524,84.219513,-223.104172,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.334710,100.000000,0.000000,-70.019173,-6.437070,-250.500763,40.835545,-1.121133,-29.473909,-8.691786,-5.244907,22.119106,-53.620552,66.368362,-47.566826,11.617932,15.527658,30.811468,11.285434,16.057438,-20.814095,51.203411,-41.204865,8.759267,12.793332,11.041630,-14.197485,-11.507773,17.844269,3.419936,1.797133,-9.763850,-36.974514,83.622467,-222.368240,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.342460,101.000000,0.000000,-69.949158,-6.430633,-249.224625,40.281887,-1.632832,-29.444435,-8.170274,-5.239662,21.584167,-53.054111,64.250710,-40.852592,15.196058,18.589054,46.165272,24.607483,13.990099,-16.690718,58.844517,-45.266224,1.058200,13.293359,8.466485,-7.516621,-8.419342,25.005911,5.980618,2.308156,-9.754086,-36.937538,84.051666,-219.068954,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.350310,102.000000,0.000000,-69.879204,-6.424202,-246.924118,40.241604,-2.144020,-29.414991,-2.521077,-5.747242,23.101044,-50.436954,65.212097,-39.273277,19.283426,23.185848,36.888336,25.095695,12.950467,-17.186848,70.067726,-38.041470,2.595603,12.767245,7.432378,25.311409,24.409590,30.109110,7.513099,2.305848,-9.744332,-36.900600,83.967613,-217.824249,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.358059,103.000000,0.000000,-69.809326,-6.417778,-245.138733,40.201363,-2.141876,-29.385576,-2.518556,-5.741496,25.129225,-51.924980,76.941757,-51.028877,19.776964,18.547279,4.543757,21.480856,13.450337,-13.067096,74.613037,-40.054710,3.618648,12.754478,6.912125,23.234816,26.436462,28.027719,6.992766,1.790722,-9.734588,-36.863701,83.370827,-218.632065,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.365909,104.000000,0.000000,-69.739517,-6.411361,-245.406418,39.648342,-2.139734,-29.356192,-8.157063,-5.735754,25.104095,-57.001259,86.608406,-56.106052,18.731546,15.451808,-5.717196,22.997837,12.411246,-9.977106,72.999969,-37.450554,4.127850,12.741723,5.879572,-9.096112,-5.897666,32.102257,9.549875,1.788931,-9.724854,-36.826839,83.800278,-218.413422,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.373659,105.000000,0.000000,-69.669777,-6.404949,-245.161011,39.608692,-2.137594,-29.326836,-6.610445,-5.730018,25.078991,-57.969898,74.214104,-45.280716,19.225634,21.077381,23.006470,24.000479,13.424476,-10.479949,73.439789,-23.566948,7.200645,12.728982,5.873692,-6.010093,-3.327666,39.762459,11.591608,2.299962,-9.715128,-36.790012,83.716476,-218.195007,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.381509,106.000000,0.000000,-69.600105,-6.398544,-244.915848,39.056263,-2.135457,-29.297508,-6.091014,-5.724288,26.592375,-56.373466,60.806561,-45.748257,19.206409,17.979382,33.239872,23.463659,13.411052,-10.469469,72.853523,-34.312611,3.603701,12.716252,6.893459,19.636944,19.239763,30.491928,6.451811,0.246380,-9.705413,-36.753220,82.094299,-219.002457,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
