title:reading_aloud_1, start timestamp:2020-01-08T16:27:07.699887-06:00, stop timestamp:2020-01-08T16:27:38.629076-06:00, headset type:EPOCFLEX, headset serial:F00000F7, headset firmware:f12, subject name:Kat, channels:74, sampling rate:128, samples:3992      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.TP10,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.TP9,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.TP10,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2
1578522427.699887,111.000000,0.000000,-450.263550,-211.586212,-512.554810,-348.243530,-53.633072,50.968681,-157.684952,-115.041718,-244.553360,982.179749,26.643055,7.673663,-299.158417,-209.576416,292.115906,-133.152527,-204.703339,72.910088,207.085709,-72.653458,-240.295486,-400.013031,-235.246338,273.648834,320.126160,-94.560013,-234.715073,-274.402924,-337.006317,-598.383179,-575.912537,-517.346619,7680.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.707737,112.000000,0.000000,-445.710724,-211.374619,-511.016571,-349.946564,-48.451233,83.738228,-161.117004,-119.029236,-248.924179,990.428345,-5.691280,-0.539139,-300.910522,-217.571976,294.900696,-165.327057,-211.678116,40.529488,174.570938,-39.760288,-243.644943,-392.946350,-202.190567,294.913635,337.754761,-80.619301,-222.685486,-261.820831,-338.207764,-581.374512,-567.131470,-515.803589,7808.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.715486,113.000000,0.000000,-444.239380,-209.111969,-494.608124,-337.801758,-47.377140,116.474998,-157.366150,-114.294823,-242.008591,988.412292,16.878513,-14.384753,-312.404510,-227.097992,278.195557,-172.341217,-231.466446,27.155622,148.242523,-72.028221,-275.708984,-397.681610,-182.501205,327.439240,370.237518,-70.282272,-227.078186,-280.020569,-346.587524,-561.818787,-561.948975,-506.569855,7936.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.723336,114.000000,0.000000,-441.231018,-209.415680,-499.754547,-348.746002,-49.893867,132.768784,-147.465179,-113.667709,-260.740936,983.834106,24.041122,1.014247,-301.835693,-204.306793,310.737854,-139.348358,-211.234970,59.948978,180.914780,-66.315170,-255.946106,-386.001892,-214.626389,294.804108,337.559601,-92.263268,-230.953674,-278.714905,-341.112732,-563.821045,-564.463928,-510.678680,7808.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.731085,115.000000,0.000000,-437.712860,-211.257538,-509.511200,-365.320343,-52.408073,134.687302,-151.933105,-115.092506,-280.480194,981.824646,3.504260,-5.653434,-304.097961,-218.974274,304.273285,-171.516708,-208.972458,39.376209,171.503098,-33.428341,-242.356827,-383.051788,-206.719467,262.201599,304.914337,-106.529984,-229.184265,-270.743866,-334.617767,-573.513672,-561.335388,-517.347473,7680.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.738935,116.000000,0.000000,-436.249512,-211.559097,-508.488861,-354.185791,-51.330025,129.424408,-167.165787,-116.003052,-251.994598,971.612061,36.321270,-37.955475,-328.409241,-251.062988,271.661316,-203.652878,-237.994263,7.029142,139.023911,-65.702606,-274.422150,-393.437958,-194.717865,294.759918,337.429932,-83.346527,-229.467896,-284.319275,-341.975464,-584.222168,-554.620178,-513.753235,7808.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.746684,117.000000,0.000000,-433.249176,-210.834717,-506.441925,-336.395691,-45.124851,115.961647,-157.255035,-108.194740,-227.127213,963.460938,69.105461,-19.455978,-320.901337,-227.222183,291.902466,-170.628723,-228.525497,27.022114,139.910522,-53.329208,-275.173370,-386.890656,-223.753922,327.285675,369.913025,-63.776001,-229.238434,-281.470856,-342.659119,-594.920044,-548.424561,-511.188171,7808.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.754534,118.000000,0.000000,-432.815918,-210.623886,-500.294464,-335.546478,-37.900238,94.820045,-128.892654,-93.727570,-238.182144,976.343628,36.728664,13.383989,-293.400940,-194.174454,324.431091,-137.637573,-204.194397,47.507912,154.642410,-20.455368,-242.077682,-370.093536,-217.376328,294.650696,337.235413,-65.250687,-227.983551,-256.574005,-335.136963,-597.402039,-545.312012,-512.215454,7552.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.762283,119.000000,0.000000,-431.357452,-210.413269,-491.076202,-337.775055,-33.759773,65.494453,-123.635551,-86.454361,-227.687546,1008.187805,25.922703,11.319324,-297.210114,-208.852081,314.363068,-169.807632,-215.785080,30.024506,145.257004,-43.511833,-248.502274,-368.697784,-184.338425,314.868866,351.769958,-49.800823,-225.191467,-250.676407,-333.776184,-595.778992,-544.253906,-509.139130,7680.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.770133,120.000000,0.000000,-417.592773,-210.202850,-490.072327,-336.924438,-33.726013,41.326397,-130.178589,-87.906364,-207.972687,1040.000122,58.717293,-9.204816,-304.605225,-212.232971,281.740997,-175.278854,-220.697495,40.763714,163.573273,-75.776016,-263.125580,-369.867554,-191.333572,347.374512,384.238708,-29.238201,-219.325241,-258.118042,-326.775757,-595.696045,-537.555786,-504.527435,7808.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.777882,121.000000,0.000000,-401.790558,-208.454193,-491.120697,-338.125977,-33.179466,43.336349,-118.766350,-87.818459,-226.226242,1043.062744,33.017551,10.291568,-286.351898,-185.866882,314.279785,-142.283066,-194.835785,66.876793,193.153290,-56.725880,-241.836807,-361.292542,-212.167892,327.539948,363.854462,-43.055115,-216.028992,-255.808640,-309.013092,-595.100342,-529.325928,-499.920349,7808.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.785732,122.000000,0.000000,-399.850311,-206.194443,-487.552673,-339.326324,-28.530903,69.446861,-105.827072,-87.730637,-236.769257,1013.301697,0.676841,9.255635,-276.321960,-193.886154,285.247559,-126.756157,-181.820435,82.194534,212.960144,-23.848642,-222.620605,-352.726135,-201.186493,294.904724,331.182922,-57.371037,-211.710403,-252.475906,-301.011749,-593.992432,-527.258118,-490.189667,7808.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1578522427.793481,123.000000,0.000000,-400.988922,-205.475433,-484.501007,-338.474182,-25.425449,102.197929,-106.746887,-87.130089,-220.122223,1003.057617,15.547958,-11.266440,-278.096893,-202.923035,252.654617,-117.911453,-186.766815,102.112335,234.285645,-28.440178,-225.474915,-347.758026,-188.164795,296.661102,336.492767,-37.826485,-199.703827,-246.069580,-302.249207,-590.321472,-520.577026,-480.468689,7808.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
